Date,Open,High,Low,Close,Volume
2018-10-24,1470.12,1488.89,1469.01,1477.85,45902600
2018-10-25,1432.66,1464.78,1432.66,1464.78,44682700
2018-10-26,1473.02,1486.79,1468.23,1472.24,43690700
2018-10-29,1468.3,1468.3,1448.79,1451.59,35216800
2018-10-30,1448.86,1473.02,1433.51,1470.05,42895600
2018-10-31,1471.24,1499.88,1471.24,1492.49,49430400
2018-11-01,1499.19,1519.8,1499.19,1500.02,55754200
2018-11-02,1515.47,1538.73,1515.4,1538.73,62597600
2018-11-05,1538.09,1558.14,1532.56,1553.84,67542400
2018-11-06,1549.69,1551.2,1531.33,1550.66,57052300
2018-11-07,1550.31,1564.75,1548.09,1548.97,58232700
2018-11-08,1556.22,1562.54,1547.29,1548.8,57221800
2018-11-09,1544.17,1554.19,1544.17,1547.21,53104400
2018-11-12,1547.01,1592.61,1547.01,1592.61,67383400
2018-11-13,1577.26,1630.12,1577.26,1621.71,88991300
2018-11-14,1622.51,1640.35,1619.27,1621.9,82484700
2018-11-15,1625.86,1657.15,1625.29,1657.15,81016700
2018-11-16,1659.68,1681.84,1657.01,1674.56,87649400
2018-11-19,1674.23,1683.0,1660.35,1683.0,78658200
2018-11-20,1669.91,1674.53,1636.87,1636.87,74826100
2018-11-21,1617.65,1649.8,1617.65,1649.8,66249900
2018-11-22,1654.14,1659.74,1647.86,1652.92,59396500
2018-11-23,1650.01,1650.01,1575.93,1577.17,70398600
2018-11-26,1572.92,1585.82,1565.37,1573.6,49929000
2018-11-27,1582.42,1591.34,1575.33,1586.83,50490600
