Date,Close
2025-01-13,636.9
2025-01-14,632.44
2025-01-15,634.5
2025-01-16,637.04
2025-01-17,637.63
2025-01-20,637.5
2025-01-21,639.0
2025-01-22,643.48
2025-01-23,644.02
2025-01-24,645.51
2025-01-27,643.1
2025-02-05,667.87
2025-02-06,667.38
2025-02-07,668.99
2025-02-10,679.65
2025-02-11,683.52
2025-02-12,680.21
2025-02-13,683.86
2025-02-14,686.58
2025-02-17,676.28
2025-02-18,682.85
2025-02-19,686.9
2025-02-20,689.18
2025-02-21,683.47
2025-02-24,685.58
2025-02-25,685.17
2025-02-26,679.3
2025-02-27,676.52
2025-02-28,670.78
2025-03-03,671.78
2025-03-04,679.97
2025-03-05,681.57
2025-03-06,679.7
2025-03-07,679.48
2025-03-10,681.99
2025-03-11,676.71
2025-03-12,679.43
2025-03-13,683.77
